Cell_Type,Dataset,Cell_Class,Label,Hodge_2018,Bakken_2019,Class_Level1,Class_Level2
Inh_L5_6_PVALB_MEPE,Bakken_2019_10x_Chromium_V3_M1,INH,Bakken_2019_10x_Chromium_V3_M1_Inh_L5.6_PVALB_MEPE,,Pvalb,MGE,PVALB
Inh_L5_6_PVALB_MEPE,Bakken_2019_SMART-Seq_v4_M1,INH,Bakken_2019_SMART-Seq_v4_M1_Inh_L5.6_PVALB_MEPE,,Pvalb,MGE,PVALB
Inh_L5_6_PVALB_SST_CRHR2,Bakken_2019_SMART-Seq_v4_M1,INH,Bakken_2019_SMART-Seq_v4_M1_Inh_L5.6_PVALB_SST_CRHR2,,Sst,MGE,PVALB
Inh_L5_6_PVALB_SST_CRHR2,Bakken_2019_10x_Chromium_V3_M1,INH,Bakken_2019_10x_Chromium_V3_M1_Inh_L5.6_PVALB_SST_CRHR2,,Sst,MGE,PVALB
Inh_L5_6_PVALB_STON2,ABI_2019_SMART-Seq_v4_S1,INH,ABI_2019_SMART-Seq_v4_S1_Inh_L5.6_PVALB_STON2,,,MGE,PVALB
Inh_L5_6_PVALB_STON2,ABI_2019_SMART-Seq_v4_V1,INH,ABI_2019_SMART-Seq_v4_V1_Inh_L5.6_PVALB_STON2,,,MGE,PVALB
Inh_L5_6_PVALB_STON2,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,INH,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Inh_L5.6_PVALB_STON2,,,MGE,PVALB
Inh_L5_6_PVALB_STON2,ABI_2019_SMART-Seq_v4_A1,INH,ABI_2019_SMART-Seq_v4_A1_Inh_L5.6_PVALB_STON2,,,MGE,PVALB
Inh_L5_6_PVALB_ZFPM2_AS1,Bakken_2019_SMART-Seq_v4_M1,INH,Bakken_2019_SMART-Seq_v4_M1_Inh_L5.6_PVALB_ZFPM2.AS1,,Pvalb,MGE,PVALB
Inh_L5_6_PVALB_ZFPM2_AS1,Bakken_2019_10x_Chromium_V3_M1,INH,Bakken_2019_10x_Chromium_V3_M1_Inh_L5.6_PVALB_ZFPM2.AS1,,Pvalb,MGE,PVALB
Inh_L5_6_SST_BEAN1,Bakken_2019_10x_Chromium_V3_M1,INH,Bakken_2019_10x_Chromium_V3_M1_Inh_L5.6_SST_BEAN1,,Sst,MGE,SST
Inh_L5_6_SST_BEAN1,Bakken_2019_SMART-Seq_v4_M1,INH,Bakken_2019_SMART-Seq_v4_M1_Inh_L5.6_SST_BEAN1,,Sst,MGE,SST
Inh_L5_6_SST_C4orf26,Bakken_2019_10x_Chromium_V3_M1,INH,Bakken_2019_10x_Chromium_V3_M1_Inh_L5.6_SST_C4orf26,,Sst,MGE,SST
Inh_L5_6_SST_C4orf26,Bakken_2019_SMART-Seq_v4_M1,INH,Bakken_2019_SMART-Seq_v4_M1_Inh_L5.6_SST_C4orf26,,Sst,MGE,SST
Inh_L5_6_SST_DNAJC14,Bakken_2019_10x_Chromium_V3_M1,INH,Bakken_2019_10x_Chromium_V3_M1_Inh_L5.6_SST_DNAJC14,,Sst,MGE,SST
