Cell_Type,Dataset,Cell_Class,Label,Hodge_2018,Bakken_2019,Class_Level1,Class_Level2
CGE_LAMP5,Luo_2019_snmCAT-seq_BA10,INH,Luo_2019_snmCAT-seq_BA10_CGE_LAMP5,,,CGE,LAMP5/PAX6
CGE_MGE_CHST9,Luo_2019_snmCAT-seq_BA10,INH,Luo_2019_snmCAT-seq_BA10_CGE.MGE_CHST9,,,MGE,
CGE_NDNF,Luo_2019_snmCAT-seq_BA10,INH,Luo_2019_snmCAT-seq_BA10_CGE_NDNF,,,CGE,
CGE_VIP,Luo_2019_snmCAT-seq_BA10,INH,Luo_2019_snmCAT-seq_BA10_CGE_VIP,,,CGE,VIP
CGE_VIP_MBP,Luo_2019_snmCAT-seq_BA10,INH,Luo_2019_snmCAT-seq_BA10_CGE_VIP_MBP,,,CGE,VIP
EC_L2_CUX2_CALB1,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L2_CUX2_CALB1,,,,L2
EC_L2_CUX2_IL1RAPL2,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L2_CUX2_IL1RAPL2,,,,L2
EC_L2_CUX2_LAMA3,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L2_CUX2_LAMA3,,,,L2
EC_L2_CUX2_PDGFD,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L2_CUX2_PDGFD,,,,L2
EC_L2_RELN_BCL11B,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L2_RELN_BCL11B,,,,L2
EC_L2_RELN_BMPR1B,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L2_RELN_BMPR1B,,,,L2
EC_L3_PCP4_ADARB2,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L3_PCP4_ADARB2,,,,L3
EC_L5_BCL11B_ADRA1A,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L5_BCL11B_ADRA1A,,,,L5
EC_L5_RORB_TLL1,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L5_RORB_TLL1,,,RORB,L5
EC_L5_RORB_TPBG,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L5_RORB_TPBG,,,RORB,L5
EC_L56_TLE4_NXPH2,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L56_TLE4_NXPH2,,,,L5-6
EC_L6_THEMIS_CDH13,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L6_THEMIS_CDH13,,,,L6
EC_L6_THEMIS_RGS12,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L6_THEMIS_RGS12,,,,L6
EC_L6_TLE4_SULF1,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L6_TLE4_SULF1,,,,L6
EC_L6b_TLE4_CCN2,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex,EXC,Franjic_2022_10x_Chromium_V3_Entorhinal_cortex_EC_L6b_TLE4_CCN2,,,,L6
EN_L2_3_Cntl,Schirmer_2019_10x_Chromium_V2_Parietal_cortex,EXC,Schirmer_2019_10x_Chromium_V2_Parietal_cortex_EN.L2.3.Cntl,,,,L2-3
EN_L2_3_Cntl,Schirmer_2019_10x_Chromium_V2_Motor_pre-motor_cortex,EXC,Schirmer_2019_10x_Chromium_V2_Motor_pre-motor_cortex_EN.L2.3.Cntl,,,,L2-3
EN_L2_3_Cntl,Schirmer_2019_10x_Chromium_V2_Prefrontal_cortex,EXC,Schirmer_2019_10x_Chromium_V2_Prefrontal_cortex_EN.L2.3.Cntl,,,,L2-3
EN_L2_3_MS,Schirmer_2019_10x_Chromium_V2_Motor_pre-motor_cortex,EXC,Schirmer_2019_10x_Chromium_V2_Motor_pre-motor_cortex_EN.L2.3.MS,,,,L2-3
EN_L2_3_MS,Schirmer_2019_10x_Chromium_V2_Parietal_cortex,EXC,Schirmer_2019_10x_Chromium_V2_Parietal_cortex_EN.L2.3.MS,,,,L2-3
EN_L2_3_MS,Schirmer_2019_10x_Chromium_V2_Prefrontal_cortex,EXC,Schirmer_2019_10x_Chromium_V2_Prefrontal_cortex_EN.L2.3.MS,,,,L2-3
EN_L4,Schirmer_2019_10x_Chromium_V2_Motor_pre-motor_cortex,EXC,Schirmer_2019_10x_Chromium_V2_Motor_pre-motor_cortex_EN.L4,,,,L4
EN_L4,Schirmer_2019_10x_Chromium_V2_Parietal_cortex,EXC,Schirmer_2019_10x_Chromium_V2_Parietal_cortex_EN.L4,,,,L4
EN_L4,Schirmer_2019_10x_Chromium_V2_Prefrontal_cortex,EXC,Schirmer_2019_10x_Chromium_V2_Prefrontal_cortex_EN.L4,,,,L4
EN_L5_6,Schirmer_2019_10x_Chromium_V2_Motor_pre-motor_cortex,EXC,Schirmer_2019_10x_Chromium_V2_Motor_pre-motor_cortex_EN.L5.6,,,,L5-6
EN_L5_6,Schirmer_2019_10x_Chromium_V2_Parietal_cortex,EXC,Schirmer_2019_10x_Chromium_V2_Parietal_cortex_EN.L5.6,,,,L5-6
EN_L5_6,Schirmer_2019_10x_Chromium_V2_Prefrontal_cortex,EXC,Schirmer_2019_10x_Chromium_V2_Prefrontal_cortex_EN.L5.6,,,,L5-6
Ex_1_L5_6,Nagy_2020_10x_Chromium_V2_BA9,EXC,Nagy_2020_10x_Chromium_V2_BA9_Ex_1_L5_6,,,,L5-6
Ex_10_L2_4,Nagy_2020_10x_Chromium_V2_BA9,EXC,Nagy_2020_10x_Chromium_V2_BA9_Ex_10_L2_4,,,,L2-4
Ex_2_L5,Nagy_2020_10x_Chromium_V2_BA9,EXC,Nagy_2020_10x_Chromium_V2_BA9_Ex_2_L5,,,,L5
Ex_3_L4_5,Nagy_2020_10x_Chromium_V2_BA9,EXC,Nagy_2020_10x_Chromium_V2_BA9_Ex_3_L4_5,,,,L4-5
Ex_4_L_6,Nagy_2020_10x_Chromium_V2_BA9,EXC,Nagy_2020_10x_Chromium_V2_BA9_Ex_4_L_6,,,,L6
Ex_5_L5,Nagy_2020_10x_Chromium_V2_BA9,EXC,Nagy_2020_10x_Chromium_V2_BA9_Ex_5_L5,,,,L5
Ex_6_L4_6,Nagy_2020_10x_Chromium_V2_BA9,EXC,Nagy_2020_10x_Chromium_V2_BA9_Ex_6_L4_6,,,,L4-6
Ex_7_L4_6,Nagy_2020_10x_Chromium_V2_BA9,EXC,Nagy_2020_10x_Chromium_V2_BA9_Ex_7_L4_6,,,,L4-6
Ex_8_L5_6,Nagy_2020_10x_Chromium_V2_BA9,EXC,Nagy_2020_10x_Chromium_V2_BA9_Ex_8_L5_6,,,,L5-6
Ex_9_L5_6,Nagy_2020_10x_Chromium_V2_BA9,EXC,Nagy_2020_10x_Chromium_V2_BA9_Ex_9_L5_6,,,,L5-6
Exc_L2_3_LINC00507_DSG3,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L2.3_LINC00507_DSG3,,L2/3 IT,,L2-3
Exc_L2_3_LINC00507_DSG3,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L2.3_LINC00507_DSG3,,L2/3 IT,,L2-3
Exc_L2_3_LINC00507_FREM3,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L2.3_LINC00507_FREM3,Exc Superficial layers,,,L2-3
Exc_L2_3_LINC00507_FREM3,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L2.3_LINC00507_FREM3,Exc Superficial layers,,,L2-3
Exc_L2_3_LINC00507_FREM3,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L2.3_LINC00507_FREM3,Exc Superficial layers,,,L2-3
Exc_L2_3_LINC00507_RPL9P17,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L2.3_LINC00507_RPL9P17,,,,L2-3
Exc_L2_3_LINC00507_RPL9P17,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L2.3_LINC00507_RPL9P17,,,,L2-3
Exc_L2_3_LINC00507_RPL9P17,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L2.3_LINC00507_RPL9P17,,,,L2-3
Exc_L2_3_LINC00507_RPL9P17,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L2.3_LINC00507_RPL9P17,,,,L2-3
Exc_L2_3_RORB_CCDC68,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L2.3_RORB_CCDC68,,L2/3 IT,RORB,L2-3
Exc_L2_3_RORB_CCDC68,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L2.3_RORB_CCDC68,,L2/3 IT,RORB,L2-3
Exc_L2_3_RORB_PTPN3,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L2.3_RORB_PTPN3,,L2/3 IT,RORB,L2-3
Exc_L2_3_RORB_PTPN3,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L2.3_RORB_PTPN3,,L2/3 IT,RORB,L2-3
Exc_L2_3_RORB_RTKN2,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L2.3_RORB_RTKN2,,L2/3 IT,RORB,L2-3
Exc_L2_3_RORB_RTKN2,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L2.3_RORB_RTKN2,,L2/3 IT,RORB,L2-3
Exc_L2_4_LINC00507_GLP2R,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L2.4_LINC00507_GLP2R,Exc Superficial layers,,,L2-4
Exc_L2_4_LINC00507_GLP2R,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L2.4_LINC00507_GLP2R,Exc Superficial layers,,,L2-4
Exc_L2_4_LINC00507_GLP2R,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L2.4_LINC00507_GLP2R,Exc Superficial layers,,,L2-4
Exc_L2_4_RORB_GRIK1,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L2.4_RORB_GRIK1,,,RORB,L2-4
Exc_L2_4_RORB_GRIK1,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L2.4_RORB_GRIK1,,,RORB,L2-4
Exc_L2_4_RORB_GRIK1,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L2.4_RORB_GRIK1,,,RORB,L2-4
Exc_L2_LAMP5_KCNG3,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L2_LAMP5_KCNG3,,L2/3 IT,,L2
Exc_L2_LAMP5_KCNG3,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L2_LAMP5_KCNG3,,L2/3 IT,,L2
Exc_L2_LAMP5_LTK,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L2_LAMP5_LTK,Exc Superficial layers,,,L2
Exc_L2_LAMP5_LTK,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L2_LAMP5_LTK,Exc Superficial layers,,,L2
Exc_L2_LAMP5_LTK,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L2_LAMP5_LTK,Exc Superficial layers,,,L2
Exc_L2_LINC00507_ATP7B,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L2_LINC00507_ATP7B,,L2/3 IT,,L2
Exc_L2_LINC00507_ATP7B,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L2_LINC00507_ATP7B,,L2/3 IT,,L2
Exc_L2_LINC00507_GLRA3,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L2_LINC00507_GLRA3,,L2/3 IT,,L2
Exc_L2_LINC00507_GLRA3,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L2_LINC00507_GLRA3,,L2/3 IT,,L2
Exc_L3_4_RORB_CARM1P1,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L3.4_RORB_CARM1P1,Exc Superficial layers,,RORB,L3-4
Exc_L3_4_RORB_CARM1P1,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L3.4_RORB_CARM1P1,Exc Superficial layers,,RORB,L3-4
Exc_L3_4_RORB_CARM1P1,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L3.4_RORB_CARM1P1,Exc Superficial layers,,RORB,L3-4
Exc_L3_4_RORB_FOLH1B,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L3.4_RORB_FOLH1B,,,RORB,L3-4
Exc_L3_4_RORB_FOLH1B,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L3.4_RORB_FOLH1B,,,RORB,L3-4
Exc_L3_4_RORB_FOLH1B,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L3.4_RORB_FOLH1B,,,RORB,L3-4
Exc_L3_4_RORB_PRSS12,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L3.4_RORB_PRSS12,,,RORB,L3-4
Exc_L3_4_RORB_PRSS12,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L3.4_RORB_PRSS12,,,RORB,L3-4
Exc_L3_4_RORB_PRSS12,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L3.4_RORB_PRSS12,,,RORB,L3-4
Exc_L3_4_RORB_PRSS12,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L3.4_RORB_PRSS12,,,RORB,L3-4
Exc_L3_4_RORB_RPS3P6,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L3.4_RORB_RPS3P6,,,RORB,L3-4
Exc_L3_4_RORB_RPS3P6,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L3.4_RORB_RPS3P6,,,RORB,L3-4
Exc_L3_4_RORB_RPS3P6,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L3.4_RORB_RPS3P6,,,RORB,L3-4
Exc_L3_4_RORB_SEMA6D,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L3.4_RORB_SEMA6D,,,RORB,L3-4
Exc_L3_4_RORB_SEMA6D,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L3.4_RORB_SEMA6D,,,RORB,L3-4
Exc_L3_4_RORB_SEMA6D,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L3.4_RORB_SEMA6D,,,RORB,L3-4
Exc_L3_4_RORB_SEMA6D,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L3.4_RORB_SEMA6D,,,RORB,L3-4
Exc_L3_5_FEZF2_ASGR2,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L3.5_FEZF2_ASGR2,,L5 ET,FEZF2,L3-5
Exc_L3_5_FEZF2_ASGR2,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L3.5_FEZF2_ASGR2,,L5 ET,FEZF2,L3-5
Exc_L3_5_FEZF2_DCN,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L3.5_FEZF2_DCN,,,FEZF2,L3-5
Exc_L3_5_FEZF2_LINC01107,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L3.5_FEZF2_LINC01107,,L5 ET,FEZF2,L3-5
Exc_L3_5_FEZF2_LINC01107,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L3.5_FEZF2_LINC01107,,L5 ET,FEZF2,L3-5
Exc_L3_5_FEZF2_ONECUT1,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L3.5_FEZF2_ONECUT1,,,FEZF2,L3-5
Exc_L3_5_FEZF2_ONECUT1,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L3.5_FEZF2_ONECUT1,,,FEZF2,L3-5
Exc_L3_5_FEZF2_ONECUT1,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L3.5_FEZF2_ONECUT1,,,FEZF2,L3-5
Exc_L3_5_LINC00507_SLN,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L3.5_LINC00507_SLN,,,,L3-5
Exc_L3_5_LINC00507_SLN,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L3.5_LINC00507_SLN,,,,L3-5
Exc_L3_5_RORB_CD24,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L3.5_RORB_CD24,,,RORB,L3-5
Exc_L3_5_RORB_CD24,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L3.5_RORB_CD24,,,RORB,L3-5
Exc_L3_5_RORB_CMAHP,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L3.5_RORB_CMAHP,,,RORB,L3-5
Exc_L3_5_RORB_CMAHP,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L3.5_RORB_CMAHP,,,RORB,L3-5
Exc_L3_5_RORB_CMAHP,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L3.5_RORB_CMAHP,,,RORB,L3-5
Exc_L3_5_RORB_CMAHP,ABI_2019_SMART-Seq_v4_V1,EXC,ABI_2019_SMART-Seq_v4_V1_Exc_L3.5_RORB_CMAHP,,,RORB,L3-5
Exc_L3_5_RORB_COL22A1,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L3.5_RORB_COL22A1,Exc Superficial layers,,RORB,L3-5
Exc_L3_5_RORB_COL22A1,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L3.5_RORB_COL22A1,Exc Superficial layers,,RORB,L3-5
Exc_L3_5_RORB_COL22A1,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L3.5_RORB_COL22A1,Exc Superficial layers,,RORB,L3-5
Exc_L3_5_RORB_ESR1,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L3.5_RORB_ESR1,Exc Superficial layers,,RORB,L3-5
Exc_L3_5_RORB_ESR1,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L3.5_RORB_ESR1,Exc Superficial layers,,RORB,L3-5
Exc_L3_5_RORB_ESR1,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L3.5_RORB_ESR1,Exc Superficial layers,,RORB,L3-5
Exc_L3_5_RORB_FILIP1L,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L3.5_RORB_FILIP1L,Exc Superficial layers,,RORB,L3-5
Exc_L3_5_RORB_FILIP1L,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L3.5_RORB_FILIP1L,Exc Superficial layers,,RORB,L3-5
Exc_L3_5_RORB_FILIP1L,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L3.5_RORB_FILIP1L,Exc Superficial layers,,RORB,L3-5
Exc_L3_5_RORB_HSPB3,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L3.5_RORB_HSPB3,,,RORB,L3-5
Exc_L3_5_RORB_HSPB3,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L3.5_RORB_HSPB3,,,RORB,L3-5
Exc_L3_5_RORB_HSPB3,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L3.5_RORB_HSPB3,,,RORB,L3-5
Exc_L3_5_RORB_LAMA4,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L3.5_RORB_LAMA4,,L5 IT,RORB,L3-5
Exc_L3_5_RORB_LAMA4,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L3.5_RORB_LAMA4,,L5 IT,RORB,L3-5
Exc_L3_5_RORB_LINC01202,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L3.5_RORB_LINC01202,,L5 IT,RORB,L3-5
Exc_L3_5_RORB_LINC01202,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L3.5_RORB_LINC01202,,L5 IT,RORB,L3-5
Exc_L3_5_RORB_LNX2,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L3.5_RORB_LNX2,,L5 IT,RORB,L3-5
Exc_L3_5_RORB_LNX2,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L3.5_RORB_LNX2,,L5 IT,RORB,L3-5
Exc_L3_5_RORB_RPRM,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L3.5_RORB_RPRM,,L5 IT,RORB,L3-5
Exc_L3_5_RORB_RPRM,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L3.5_RORB_RPRM,,L5 IT,RORB,L3-5
Exc_L3_5_RORB_TNNT2,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L3.5_RORB_TNNT2,,L5 IT,RORB,L3-5
Exc_L3_5_RORB_TNNT2,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L3.5_RORB_TNNT2,,L5 IT,RORB,L3-5
Exc_L3_5_RORB_TWIST2,Luo_2019_10x_Chromium_V3_BA44-45,EXC,Luo_2019_10x_Chromium_V3_BA44-45_Exc_L3.5_RORB_TWIST2,Exc Superficial layers,,RORB,L3-5
Exc_L3_5_RORB_TWIST2,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus,EXC,Hodge_2018_SMART-Seq_v4_Middle_temporal_gyrus_Exc_L3.5_RORB_TWIST2,Exc Superficial layers,,RORB,L3-5
Exc_L3_5_RORB_TWIST2,Luo_2019_10x_Chromium_V3_BA46,EXC,Luo_2019_10x_Chromium_V3_BA46_Exc_L3.5_RORB_TWIST2,Exc Superficial layers,,RORB,L3-5
Exc_L3_5_THEMIS_ELOF1,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L3.5_THEMIS_ELOF1,,,,L3-5
Exc_L3_5_THEMIS_ELOF1,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L3.5_THEMIS_ELOF1,,,,L3-5
Exc_L3_5_THEMIS_UBE2F,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex,EXC,ABI_2019_SMART-Seq_v4_Anterior_cingulate_cortex_Exc_L3.5_THEMIS_UBE2F,,,,L3-5
Exc_L3_5_THEMIS_UBE2F,ABI_2019_SMART-Seq_v4_A1,EXC,ABI_2019_SMART-Seq_v4_A1_Exc_L3.5_THEMIS_UBE2F,,,,L3-5
Exc_L3_5_THEMIS_UBE2F,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L3.5_THEMIS_UBE2F,,,,L3-5
Exc_L3_LAMP5_CARM1P1,Bakken_2019_SMART-Seq_v4_M1,EXC,Bakken_2019_SMART-Seq_v4_M1_Exc_L3_LAMP5_CARM1P1,,L2/3 IT,,L3
Exc_L3_LAMP5_CARM1P1,Bakken_2019_10x_Chromium_V3_M1,EXC,Bakken_2019_10x_Chromium_V3_M1_Exc_L3_LAMP5_CARM1P1,,L2/3 IT,,L3
Exc_L3_LINC00507_CTXN3,ABI_2019_SMART-Seq_v4_S1,EXC,ABI_2019_SMART-Seq_v4_S1_Exc_L3_LINC00507_CTXN3,,,,L3
